champion,damage_objectives,damage_building,damage_turrets,kda,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed
Ashe,4885.0,9190.0,4885.0,2.0,3.0,24.0,84282,10168,Other,Many
Nunu,0.0,4920.0,0.0,1.5,0.0,29.0,109911,7570,TopLane_Jungle,Few
Nautilus,0.0,0.0,0.0,1.0,0.0,20.0,17853,4377,Other,Few
Graves,5749.0,15015.0,5749.0,1.5555555559999998,2.0,19.0,180588,13221,Other,Many
Lulu,720.0,3379.0,720.0,2.222222222,0.0,59.0,18443,8140,Other,Few
Akali,0.0,0.0,0.0,2.8,0.0,14.0,61170,8522,Other,Many
Hecarim,0.0,2971.0,0.0,0.5,0.0,12.0,72549,4876,TopLane_Jungle,Few
Poppy,4944.0,7334.0,4944.0,2.0,1.0,22.0,96700,9861,TopLane_Jungle,Many
Gwen,6202.0,15216.0,6202.0,3.0,2.0,45.0,261314,18542,TopLane_Jungle,Many
Nami,176.0,506.0,176.0,1.875,1.0,48.0,11210,7744,Other,Few
TahmKench,5225.0,9160.0,5225.0,3.5,2.0,15.0,83365,9933,TopLane_Jungle,Many
Malzahar,4221.0,19241.0,4221.0,3.0,2.0,28.0,129984,11244,Other,Many
LeeSin,658.0,31718.0,658.0,2.875,1.0,44.0,185256,14825,TopLane_Jungle,Few
Sylas,607.0,3669.0,607.0,1.166666667,0.0,19.0,80715,9110,Other,Many
Teemo,1785.0,4074.0,1785.0,1.166666667,0.0,28.0,104181,9875,TopLane_Jungle,Many
Qiyana,0.0,0.0,0.0,1.714285714,0.0,18.0,114217,10141,TopLane_Jungle,Many
Shen,0.0,0.0,0.0,1.0,0.0,8.0,42550,5661,TopLane_Jungle,Few
Lux,0.0,0.0,0.0,4.5,0.0,35.0,15186,5844,Other,Few
Akali,5697.0,7111.0,5697.0,2.454545455,2.0,18.0,174788,17567,Other,Many
Hecarim,0.0,11984.0,0.0,3.666666667,0.0,25.0,117131,8401,TopLane_Jungle,Few
Viego,190.0,22952.0,190.0,1.454545455,0.0,50.0,206885,15530,TopLane_Jungle,Few
Viktor,961.0,961.0,961.0,0.625,1.0,19.0,124589,9966,Other,Many
Jhin,6333.0,9153.0,6333.0,18.0,3.0,39.0,192923,13728,Other,Many
Zoe,4677.0,5728.0,4677.0,2.4,2.0,23.0,93372,10798,Other,Many
Jinx,5197.0,25521.0,5197.0,2.888888889,3.0,37.0,246292,19503,Other,Many
Talon,1678.0,24886.0,1678.0,2.8,1.0,16.0,196128,11517,TopLane_Jungle,Few
Graves,749.0,749.0,749.0,0.75,0.0,9.0,67284,7238,Other,Many
Hecarim,2682.0,31724.0,2682.0,20.0,3.0,21.0,166447,11051,TopLane_Jungle,Few
Zilean,0.0,915.0,0.0,3.333333333,0.0,35.0,104884,9304,TopLane_Jungle,Many
Graves,2723.0,4673.0,2723.0,1.111111111,1.0,25.0,120481,11469,TopLane_Jungle,Many
Nami,3425.0,3425.0,3425.0,8.666666667000001,1.0,40.0,22076,9082,Other,Few
Jhin,7290.0,13293.0,7290.0,9.666666667,2.0,18.0,223011,16420,Other,Many
Jhin,4612.0,14801.0,4612.0,7.0,3.0,28.0,230696,14580,Other,Many
Syndra,244.0,592.0,244.0,1.166666667,0.0,11.0,110560,9830,Other,Many
Sylas,688.0,1923.0,688.0,1.166666667,0.0,18.0,100546,8139,Other,Many
Zilean,1454.0,1454.0,1454.0,11.0,0.0,27.0,111012,10929,TopLane_Jungle,Many
LeeSin,2906.0,33484.0,2906.0,5.75,3.0,35.0,150977,15133,TopLane_Jungle,Few
LeeSin,4715.0,38259.0,4715.0,12.0,1.0,30.0,174352,13282,TopLane_Jungle,Few
Lulu,453.0,841.0,453.0,1.0,0.0,39.0,7136,4226,Other,Few
TwistedFate,0.0,3272.0,0.0,1.75,0.0,27.0,102544,11560,Other,Many
Irelia,4914.0,8587.0,4914.0,0.833333333,2.0,26.0,213012,15980,TopLane_Jungle,Many
Ziggs,5758.0,9251.0,5758.0,1.307692308,1.0,29.0,198906,13678,Other,Many
LeeSin,2238.0,34240.0,2238.0,5.666666667,4.0,30.0,131333,11599,TopLane_Jungle,Few
Akshan,1622.0,1778.0,1622.0,0.7894736840000001,0.0,42.0,201044,15133,Other,Many
Leblanc,1189.0,1189.0,1189.0,14.0,0.0,17.0,60425,7561,Other,Many
Graves,0.0,4974.0,0.0,2.142857143,0.0,27.0,238434,14891,TopLane_Jungle,Few
JarvanIV,979.0,6980.0,979.0,12.0,0.0,25.0,85156,7480,TopLane_Jungle,Few
Ornn,1108.0,2607.0,1108.0,1.142857143,0.0,14.0,94230,9963,TopLane_Jungle,Many
Jhin,7351.0,25877.0,7351.0,8.0,3.0,26.0,287914,17602,Other,Many
Pantheon,1900.0,3997.0,1900.0,3.571428571,1.0,39.0,69734,11178,Other,Few
Graves,6937.0,14759.0,6937.0,21.0,2.0,27.0,209512,17002,Other,Many
