champion,damage_objectives,damage_building,damage_turrets,kda,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed
Akshan,4323.0,4719.0,4323.0,1.0,2.0,33.0,120106,11834,TopLane_Jungle,Many
Leona,0.0,360.0,0.0,1.0,0.0,20.0,12840,5032,Other,Few
Karma,345.0,345.0,345.0,2.1666666666666665,0.0,40.0,13559,7052,Other,Few
Camille,0.0,375.0,0.0,0.4,0.0,8.0,26291,3981,TopLane_Jungle,Few
Jinx,7005.0,12524.0,7005.0,6.0,3.0,30.0,159783,13283,Other,Many
Rakan,57.0,1450.0,57.0,5.333333333333333,0.0,124.0,29055,12543,Other,Few
Ryze,1844.0,12817.0,1844.0,2.625,1.0,40.0,187270,13017,Other,Many
Talon,2334.0,9452.0,2334.0,6.0,0.0,20.0,122371,10915,Other,Many
Taliyah,413.0,413.0,413.0,3.333333333333333,1.0,30.0,85515,8529,Other,Many
Jhin,3334.0,3334.0,3334.0,11.0,1.0,12.0,53956,7810,Other,Many
Ekko,2960.0,76250.0,2960.0,3.8571428571428568,2.0,51.0,454629,25964,TopLane_Jungle,Many
Leona,69.0,852.0,69.0,4.5,0.0,69.0,17277,7769,Other,Few
Urgot,0.0,0.0,0.0,1.0,0.0,18.0,131746,11918,TopLane_Jungle,Many
Rakan,153.0,2838.0,153.0,1.75,0.0,96.0,31026,9195,Other,Few
Lux,53.0,1121.0,53.0,0.8181818181818182,0.0,50.0,32145,7735,Other,Few
Kalista,14019.0,14300.0,14019.0,16.0,6.0,13.0,164844,14123,Other,Many
Urgot,7263.0,13314.0,7263.0,0.8,3.0,15.0,88631,8029,TopLane_Jungle,Many
Nidalee,1438.0,32909.0,1438.0,4.666666667,1.0,62.0,255787,16838,TopLane_Jungle,Few
Gangplank,8504.0,8655.0,8504.0,1.636363636,3.0,21.0,281579,20089,Other,Many
Ashe,1323.0,1323.0,1323.0,1.545454545,1.0,13.0,119745,13102,Other,Many
Jhin,1079.0,9082.0,1079.0,8.0,0.0,22.0,286538,14003,Other,Many
Nautilus,425.0,3248.0,425.0,3.8571428571428568,1.0,101.0,30420,10189,Other,Few
Ezreal,3040.0,10530.0,3040.0,0.7142857142857143,0.0,23.0,152708,11244,Other,Many
Shen,2142.0,5192.0,2142.0,6.0,1.0,20.0,79421,10360,TopLane_Jungle,Many
Syndra,3397.0,3397.0,3397.0,14.0,1.0,16.0,84766,9144,Other,Many
KogMaw,11666.0,34247.0,11666.0,5.5,7.0,24.0,158268,13104,Other,Many
RekSai,2412.0,29200.0,2412.0,5.333333333333333,4.0,26.0,106198,9792,TopLane_Jungle,Few
Aphelios,6332.0,6332.0,6332.0,0.4285714285714285,2.0,8.0,92931,8018,Other,Many
Zilean,3024.0,3341.0,3024.0,13.0,3.0,78.0,77875,11421,Other,Few
Viego,2312.0,30665.0,2312.0,3.25,0.0,40.0,182748,13577,TopLane_Jungle,Few
Karthus,2172.0,3190.0,2172.0,1.5,0.0,25.0,227364,14364,TopLane_Jungle,Many
Graves,5743.0,9244.0,5743.0,1.5,2.0,36.0,172017,12683,TopLane_Jungle,Many
Lulu,409.0,954.0,409.0,3.2857142857142856,0.0,97.0,25473,8886,Other,Few
Nidalee,0.0,14344.0,0.0,1.8333333333333333,0.0,16.0,107744,8349,TopLane_Jungle,Few
Nunu,1514.0,20595.0,1514.0,13.0,3.0,15.0,92601,7444,TopLane_Jungle,Few
Sylas,2149.0,2535.0,2149.0,1.666666667,1.0,15.0,76559,8481,Other,Many
Lulu,1816.0,2221.0,1816.0,2.5,0.0,111.0,18233,10990,Other,Few
Yuumi,569.0,569.0,569.0,15.0,0.0,58.0,12274,6652,Other,Few
Sona,0.0,0.0,0.0,2.4,0.0,22.0,18682,5908,Other,Few
Singed,124.0,124.0,124.0,7.0,0.0,19.0,58850,6909,Other,Many
Corki,1522.0,3577.0,1522.0,0.5555555555555556,1.0,30.0,114521,8856,Other,Many
Shen,1034.0,1789.0,1034.0,3.25,0.0,66.0,19219,7002,Other,Few
Irelia,2450.0,4699.0,2450.0,6.0,1.0,18.0,141168,11341,Other,Many
Lucian,2728.0,2892.0,2728.0,1.333333333,0.0,27.0,150370,11660,Other,Many
Aphelios,2676.0,3290.0,2676.0,1.0,1.0,11.0,84977,7467,Other,Many
Renekton,7614.0,9459.0,7614.0,16.0,4.0,14.0,158027,13941,TopLane_Jungle,Many
Lux,492.0,791.0,492.0,0.5555555555555556,0.0,63.0,24908,6000,Other,Few
Nidalee,828.0,13820.0,828.0,3.6,1.0,23.0,112028,11582,TopLane_Jungle,Few
Lucian,3808.0,7543.0,3808.0,2.1,1.0,43.0,286840,19062,Other,Many
Sylas,4425.0,5640.0,4425.0,2.0,2.0,24.0,143609,14217,Other,Many
